Longitude;Latitude;Diplodus_sargus_sargus;Mullus_surmuletus
-1.39;36.81;0;0
-1.39;36.91;0;0
-1.39;37.01;0;0
-1.39;37.11;0;0
-1.39;37.21;0;0
-1.39;37.31;0;0
-1.39;37.41;0;1
-1.39;37.51;1;1
-1.29;35.31;1;1
-1.29;35.41;1;1
-1.29;35.51;0;1
-1.29;35.61;0;0
-1.29;35.71;0;0
-1.29;35.81;0;0
-1.29;35.91;0;0
-1.29;36.01;0;0
-1.29;36.11;0;0
-1.29;36.21;0;0
-1.29;36.31;0;0
-1.29;36.41;0;0
-1.29;36.51;0;0
-1.29;36.61;0;0
-1.29;36.71;0;0
-1.29;36.81;0;0
-1.29;36.91;0;0
-1.29;37.01;0;0
-1.29;37.11;0;0
-1.29;37.21;0;0
-1.29;37.31;0;0
-1.29;37.41;0;0
-1.29;37.51;1;1
-1.29;37.61;1;1
-1.19;35.41;1;0
-1.19;35.51;0;1
-1.19;35.61;0;1
-1.19;35.71;0;1
-1.19;35.81;0;0
-1.19;35.91;0;0
-1.19;36.01;0;0
-1.19;36.11;0;0
